Baseline 100%T,,sample1,,sample2,,sample3,,sample4,,sample5,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
3300,110.4739532,3300,20.35379028,3300,17.29366493,3300,20.89978027,3300,19.00636673,3300,18.43023682,
3299,104.249939,3299,23.13915253,3299,23.33061028,3299,20.384058,3299,22.20675659,3299,22.34060097,
3298,102.9561157,3298,20.34220314,3298,18.07569695,3298,20.52365112,3298,17.99006462,3298,21.53067207,
3297,105.6963348,3297,21.31678009,3297,24.64435196,3297,19.1360302,3297,18.24812317,3297,20.41929626,
3296,102.473938,3296,20.67834473,3296,22.84881401,3296,22.85758018,3296,20.91863251,3296,22.94140816,
3295,102.9435959,3295,21.1334343,3295,19.26981544,3295,17.80021858,3295,23.7597084,3295,19.21879196,
3294,107.0148849,3294,19.50741768,3294,20.21101952,3294,18.6637516,3294,21.96811295,3294,19.86178398,
3293,103.981308,3293,21.06061363,3293,19.56350136,3293,22.62553215,3293,20.61356354,3293,21.55527115,
3292,106.9375153,3292,18.74839783,3292,19.16835022,3292,20.93558502,3292,21.59089088,3292,22.95325279,
3291,105.9990616,3291,22.0208416,3291,21.74367523,3291,21.91723633,3291,20.58552933,3291,18.12935257,
3290,107.065239,3290,20.38054848,3290,22.75671577,3290,22.13345146,3290,18.05986404,3290,19.30204391,
3289,105.831192,3289,19.68481255,3289,22.31746292,3289,21.7898674,3289,21.36730576,3289,21.17091942,
3288,104.7791977,3288,20.08081055,3288,22.04610634,3288,22.0126152,3288,17.10163116,3288,19.34366035,
3287,102.2385483,3287,19.08673286,3287,21.23051071,3287,20.59142876,3287,20.00492668,3287,24.60979271,
3286,103.8816681,3286,20.92788696,3286,23.16794586,3286,19.11778069,3286,18.51033401,3286,21.86300278,
3285,103.9772491,3285,20.30320549,3285,20.18773842,3285,22.1495285,3285,20.88149261,3285,23.50970268,
