Created as New Dataset;Sample 009 By student Date söndag, februari 22 2026
nm;%T
1500,0;27,57
1503,8;28,28
1507,5;28,75
1511,3;29,30
1515,0;28,83
1518,8;27,70
1522,5;28,61
1526,3;28,58
1530,0;28,06
1533,8;28,64
1537,5;28,10
1541,3;27,83
1545,0;27,38
1548,8;28,50
1552,5;27,32
1556,3;28,02
1560,0;26,93
1563,8;27,34
1567,5;26,48
1571,3;26,95
1575,0;26,83
1578,8;26,87
1582,5;26,77
1586,3;26,50
1590,0;26,21
1593,8;26,22
1597,5;25,41
1601,3;26,91
1605,0;27,17
1608,8;26,97
1612,5;26,79
1616,3;26,68
1620,0;26,39
1623,8;26,55
1627,5;27,52
1631,3;29,04
1635,0;27,72
1638,8;28,71
1642,5;28,70
1646,3;29,65
1650,0;30,23
1653,8;29,54
1657,5;31,44
1661,3;30,27
1665,0;32,26
1668,8;32,39
1672,5;31,44
1676,3;34,68
1680,0;32,51
1683,8;31,87
1687,5;36,54
1691,3;34,55
1695,0;32,51
1698,8;33,98
1702,5;35,41
1706,3;34,16
1710,0;33,21
1713,8;32,71
1717,5;33,13
1721,3;33,25
1725,0;31,68
1728,8;30,97
1732,5;30,05
1736,3;29,27
1740,0;29,13
1743,8;28,25
1747,5;29,09
1751,3;27,61
1755,0;26,55
1758,8;26,79
1762,5;25,82
1766,3;26,54
1770,0;25,64
1773,8;24,08
1777,5;24,07
1781,3;25,02
1785,0;24,00
1788,8;23,38
1792,5;23,29
1796,3;23,49
1800,0;23,10
1803,8;22,53
1807,5;22,58
1811,3;22,63
1815,0;22,51
1818,8;22,72
1822,5;22,18
1826,3;23,82
1830,0;22,17
1833,8;23,22
1837,5;23,86
1841,3;23,25
1845,0;23,05
1848,8;22,32
1852,5;24,53
1856,3;24,46
1860,0;24,37
1863,8;24,81
1867,5;24,97
1871,3;26,26
1875,0;24,75
1878,8;26,27
1882,5;25,36
1886,3;26,24
1890,0;26,86
1893,8;26,57
1897,5;27,27
1901,3;26,96
1905,0;27,47
1908,8;27,07
1912,5;27,09
1916,3;26,47
1920,0;27,89
1923,8;28,07
1927,5;27,37
1931,3;27,27
1935,0;27,62
1938,8;27,32
1942,5;28,42
1946,3;29,32
1950,0;27,91
1953,8;29,01
1957,5;28,32
1961,3;30,15
1965,0;30,22
1968,8;29,97
1972,5;30,39
1976,3;29,01
1980,0;29,29
1983,8;29,87
1987,5;31,61
1991,3;29,55
1995,0;29,87
1998,8;30,25
2002,5;31,47
2006,3;30,06
2010,0;30,56
2013,8;30,38
2017,5;29,56
2021,3;30,72
2025,0;30,84
2028,8;30,90
2032,5;29,94
2036,3;32,13
2040,0;31,84
2043,8;30,25
2047,5;29,92
2051,3;31,13
2055,0;31,70
2058,8;30,98
2062,5;31,68
2066,3;31,58
2070,0;31,87
2073,8;32,54
2077,5;32,71
2081,3;32,42
2085,0;31,46
2088,8;31,53
2092,5;31,03
2096,3;30,93
2100,0;30,98
2103,8;30,07
2107,5;31,19
2111,3;30,91
2115,0;30,79
2118,8;32,54
2122,5;32,05
2126,3;31,93
2130,0;30,10
2133,8;32,96
2137,5;33,64
2141,3;31,91
2145,0;30,61
2148,8;31,36
2152,5;29,98
2156,3;34,44
2160,0;30,75
2163,8;34,49
2167,5;29,76
2171,3;30,95
2175,0;31,81
2178,8;29,33
2182,5;28,82
2186,3;30,26
2190,0;34,04
2193,8;31,23
2197,5;30,68
2201,3;29,13
2205,0;30,89
2208,8;30,60
2212,5;31,56
2216,3;28,46
2220,0;29,89
2223,8;33,60
2227,5;31,94
2231,3;35,19
2235,0;31,59
2238,8;36,22
2242,5;35,85
2246,3;28,41
2250,0;30,72
2253,8;34,63
2257,5;31,78
2261,3;33,20
2265,0;29,79
2268,8;27,24
2272,5;32,32
2276,3;33,90
2280,0;27,85
2283,8;31,01
2287,5;35,99
2291,3;32,03
2295,0;28,04
2298,8;32,17
2302,5;40,38
2306,3;33,10
2310,0;47,66
2313,8;24,28
2317,5;25,71
2321,3;31,67
2325,0;31,32
2328,8;43,04
2332,5;31,03
