Created as New Dataset;Sample 010 By student Date söndag, februari 22 2026
nm;%T
1500,0;23,86
1503,8;23,39
1507,5;24,72
1511,3;24,65
1515,0;23,94
1518,8;25,28
1522,5;24,80
1526,3;24,96
1530,0;24,55
1533,8;22,62
1537,5;23,98
1541,3;24,10
1545,0;24,12
1548,8;23,25
1552,5;22,87
1556,3;23,34
1560,0;24,40
1563,8;22,92
1567,5;23,15
1571,3;23,30
1575,0;22,87
1578,8;23,18
1582,5;21,88
1586,3;22,42
1590,0;22,91
1593,8;22,73
1597,5;21,55
1601,3;23,55
1605,0;23,60
1608,8;23,35
1612,5;23,98
1616,3;21,84
1620,0;23,05
1623,8;21,79
1627,5;24,02
1631,3;24,80
1635,0;24,21
1638,8;24,32
1642,5;23,98
1646,3;25,75
1650,0;24,66
1653,8;24,20
1657,5;27,24
1661,3;24,93
1665,0;26,60
1668,8;28,47
1672,5;26,05
1676,3;28,42
1680,0;26,35
1683,8;25,80
1687,5;28,84
1691,3;26,06
1695,0;26,87
1698,8;25,36
1702,5;26,17
1706,3;23,77
1710,0;24,40
1713,8;23,28
1717,5;23,25
1721,3;23,83
1725,0;22,02
1728,8;22,56
1732,5;22,18
1736,3;20,81
1740,0;21,35
1743,8;21,80
1747,5;22,11
1751,3;22,37
1755,0;22,16
1758,8;22,92
1762,5;21,85
1766,3;22,49
1770,0;22,71
1773,8;22,42
1777,5;22,71
1781,3;23,72
1785,0;23,86
1788,8;24,12
1792,5;25,21
1796,3;23,99
1800,0;24,43
1803,8;24,51
1807,5;24,80
1811,3;25,91
1815,0;25,72
1818,8;25,73
1822,5;26,83
1826,3;26,67
1830,0;27,16
1833,8;25,90
1837,5;26,71
1841,3;25,46
1845,0;26,85
1848,8;25,75
1852,5;27,94
1856,3;25,99
1860,0;25,87
1863,8;27,85
1867,5;28,29
1871,3;26,52
1875,0;26,49
1878,8;27,67
1882,5;28,40
1886,3;27,96
1890,0;27,49
1893,8;28,91
1897,5;28,96
1901,3;28,13
1905,0;28,94
1908,8;28,22
1912,5;30,57
1916,3;29,00
1920,0;28,91
1923,8;29,43
1927,5;29,72
1931,3;30,43
1935,0;30,38
1938,8;30,52
1942,5;30,83
1946,3;30,85
1950,0;31,18
1953,8;30,92
1957,5;29,82
1961,3;31,59
1965,0;31,12
1968,8;30,87
1972,5;30,49
1976,3;30,84
1980,0;30,72
1983,8;31,09
1987,5;32,41
1991,3;31,33
1995,0;29,79
1998,8;30,40
2002,5;30,27
2006,3;31,33
2010,0;30,52
2013,8;29,93
2017,5;31,06
2021,3;30,01
2025,0;30,83
2028,8;30,62
2032,5;31,16
2036,3;31,66
2040,0;31,25
2043,8;31,91
2047,5;31,54
2051,3;31,16
2055,0;31,11
2058,8;31,61
2062,5;31,35
2066,3;31,69
2070,0;30,77
2073,8;31,63
2077,5;31,60
2081,3;32,24
2085,0;31,67
2088,8;31,34
2092,5;32,17
2096,3;31,22
2100,0;31,94
2103,8;30,45
2107,5;30,92
2111,3;32,05
2115,0;32,07
2118,8;33,03
2122,5;34,20
2126,3;30,99
2130,0;32,46
2133,8;34,12
2137,5;31,54
2141,3;29,90
2145,0;31,77
2148,8;32,43
2152,5;33,53
2156,3;33,62
2160,0;30,87
2163,8;32,10
2167,5;33,18
2171,3;32,49
2175,0;31,07
2178,8;30,83
2182,5;32,26
2186,3;28,74
2190,0;32,19
2193,8;31,64
2197,5;31,47
2201,3;29,79
2205,0;31,01
2208,8;33,80
2212,5;33,47
2216,3;33,40
2220,0;33,37
2223,8;35,46
2227,5;30,88
2231,3;28,93
2235,0;35,40
2238,8;32,70
2242,5;35,73
2246,3;33,52
2250,0;30,85
2253,8;27,49
2257,5;38,64
2261,3;44,08
2265,0;28,94
2268,8;44,59
2272,5;45,19
2276,3;47,17
2280,0;46,59
2283,8;43,48
2287,5;39,13
2291,3;44,47
2295,0;52,65
2298,8;54,61
2302,5;50,60
2306,3;38,32
2310,0;37,87
2313,8;41,82
2317,5;33,64
2321,3;40,76
2325,0;37,34
2328,8;32,64
2332,5;32,01
2336,3;26,90
2340,0;36,91
2343,8;38,78
2347,5;32,56
2351,3;33,81
2355,0;31,59
2358,8;36,18
2362,5;35,40
2366,3;36,62
2370,0;36,10
2373,8;30,67
2377,5;36,51
2381,3;31,52
2385,0;35,05
2388,8;33,50
2392,5;31,67
2396,3;32,35
2400,0;32,99
2403,8;34,99
2407,5;35,40
2411,3;33,25
2415,0;31,86
2418,8;31,48
2422,5;32,63
2426,3;33,01
2430,0;33,45
2433,8;32,19
2437,5;32,86
2441,3;34,26
2445,0;31,96
2448,8;32,28
2452,5;34,36
2456,3;33,36
